B,BLOCK,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,pH
2.136,Badami,0.495,2015-17,Bagalkot,524,0.191,3.303,29_524_shc_2015-17.265,195.543,9.737,599.443,0.455,45.902,23.985,Karnataka,29,15.83600000000001,75.64999999999844,Badami,Jakanur,0.572,7.309
4.826,Badami,0.283,2015-17,Bagalkot,524,0.326,1.03,29_524_shc_2015-17.269,231.103,2.105,260.389,3.905,31.205,18.433,Karnataka,29,15.844000000000012,75.65799999999842,Badami,Neeralagi,0.306,8.026
0.788,Badami,1.302,2015-17,Bagalkot,524,0.244,2.142,29_524_shc_2015-17.262,430.136,7.448,513.127,4.82,50.01,21.592,Karnataka,29,15.850000000000014,75.64599999999845,Badami,Budihal,12.607,8.037
0.573,Badami,7.772,2015-17,Bagalkot,524,0.274,4.103,29_524_shc_2015-17.276,321.355,14.413,733.164,0.717,40.353,23.75,Karnataka,29,15.854000000000015,75.6659999999984,Badami,Thaminal,0.957,6.298
0.27,Badami,0.32,2015-17,Bagalkot,524,0.45,1.73,29_524_shc_2015-17.198,76.73,5.04,45.86,0.08,,5.73,Karnataka,29,15.872000000000021,75.51999999999875,Badami,Wadawatti,0.26,6.3
0.525,Badami,0.328,2015-17,Bagalkot,524,0.32,0.563,29_524_shc_2015-17.315,539.669,1.538,238.008,0.395,78.28,5.543,Karnataka,29,15.880000000000024,75.73599999999824,Badami,Hirenasabi,0.194,8.203
0.862,Hungund,0.709,2015-17,Bagalkot,524,0.416,3.278,29_524_shc_2015-17.422,292.483,2.459,248.501,0.713,34.73,15.691,Karnataka,29,15.880000000000024,75.9679999999977,Hungund,Gandal,4.513,8.006
0.225,Badami,0.264,2015-17,Bagalkot,524,0.429,0.473,29_524_shc_2015-17.277,282.203,2.331,219.119,0.366,45.545,3.771,Karnataka,29,15.886000000000026,75.6659999999984,Badami,Yaragoppa.S.B,0.245,7.902
0.362,Badami,0.419,2015-17,Bagalkot,524,0.4,0.507,29_524_shc_2015-17.203,318.074,2.377,226.75,0.366,71.589,7.605,Karnataka,29,15.894000000000029,75.52599999999873,Badami,Narasapur,1.167,8.131
0.593,Badami,0.407,2015-17,Bagalkot,524,0.274,2.19,29_524_shc_2015-17.161,341.021,8.171,384.717,0.217,48.965,20.211,Karnataka,29,15.89800000000003,75.46799999999887,Badami,Alur .S.K.,0.321,7.567
0.623,Badami,0.356,2015-17,Bagalkot,524,0.322,0.621,29_524_shc_2015-17.224,348.72,2.557,221.438,0.472,67.24,13.679,Karnataka,29,15.89800000000003,75.56599999999864,Badami,Timmapur S.N.,1.611,7.738
0.798,Badami,0.531,2015-17,Bagalkot,524,0.36,1.187,29_524_shc_2015-17.185,422.356,3.698,344.805,9.608,47.737,7.579,Karnataka,29,15.912000000000035,75.50199999999879,Badami,Khanapur S.K.,0.366,7.844
0.476,Badami,0.199,2015-17,Bagalkot,524,0.4,0.343,29_524_shc_2015-17.327,654.738,0.677,224.793,0.383,68.917,35.104,Karnataka,29,15.914000000000035,75.76599999999817,Badami,Mangalur,0.268,8.254
1.542,Badami,0.733,2015-17,Bagalkot,524,0.369,0.755,29_524_shc_2015-17.197,426.87,2.458,770.438,0.527,47.693,9.236,Karnataka,29,15.920000000000037,75.51999999999875,Badami,Somanakoppa,0.712,8.102
0.462,Badami,0.499,2015-17,Bagalkot,524,0.312,1.004,29_524_shc_2015-17.216,372.891,2.645,432.177,13.15,89.765,14.542,Karnataka,29,15.924000000000039,75.55199999999867,Badami,Neelagund,0.226,8.08
0.731,Badami,0.309,2015-17,Bagalkot,524,0.357,0.407,29_524_shc_2015-17.285,401.963,1.554,320.763,0.54,40.427,9.405,Karnataka,29,15.92600000000004,75.67399999999839,Badami,Badami (Rural) *,0.259,8.256
0.211,Hungund,0.366,2015-17,Bagalkot,524,0.151,0.163,29_524_shc_2015-17.498,515.261,1.36,189.164,0.33,6.371,4.969,Karnataka,29,15.92800000000004,76.15999999999725,Hungund,Gugalmari,0.147,8.057
0.485,Badami,0.603,2015-17,Bagalkot,524,0.409,1.884,29_524_shc_2015-17.167,288.326,6.096,511.63,1.717,38.18,19.851,Karnataka,29,15.93000000000004,75.47199999999886,Badami,Chimmanakatti,0.717,9.395
0.533,Badami,0.943,2015-17,Bagalkot,524,0.365,0.59,29_524_shc_2015-17.202,328.178,1.81,241.379,0.421,36.428,13.737,Karnataka,29,15.932000000000041,75.52399999999874,Badami,Hanamasagar,0.331,8.874
0.219,Hungund,0.544,2015-17,Bagalkot,524,0.08,1.763,29_524_shc_2015-17.384,303.31,4.255,983.061,0.489,36.334,13.464,Karnataka,29,15.940000000000044,75.88799999999789,Hungund,Chikanal,0.284,8.464
0.46,Hungund,0.334,2015-17,Bagalkot,524,0.181,1.144,29_524_shc_2015-17.540,369.607,2.78,416.988,0.415,32.012,13.78,Karnataka,29,15.940000000000044,76.31799999999689,Hungund,Somalapur,0.235,8.167
1.2,Badami,0.5,2015-17,Bagalkot,524,0.411,0.475,29_524_shc_2015-17.184,292.12,2.35,354.084,0.617,40.73,4.896,Karnataka,29,15.942000000000045,75.50199999999879,Badami,Kallapur.S.K,0.268,7.805
0.253,Hungund,0.393,2015-17,Bagalkot,524,0.24,1.033,29_524_shc_2015-17.408,236.25,1.647,556.115,0.347,53.088,15.037,Karnataka,29,15.948000000000047,75.93999999999777,Hungund,Vadageri,0.213,7.673
0.349,Hungund,0.507,2015-17,Bagalkot,524,0.613,0.487,29_524_shc_2015-17.478,309.091,2.269,457.654,0.345,42.984,321.836,Karnataka,29,15.948000000000047,76.11799999999735,Hungund,Gonal (S.B.),1.977,8.013
0.449,Badami,0.559,2015-17,Bagalkot,524,0.444,1.224,29_524_shc_2015-17.193,288.733,1.885,289.14,0.507,66.809,9.187,Karnataka,29,15.952000000000048,75.51799999999875,Badami,Mamatageri,0.265,7.744
0.351,Hungund,0.205,2015-17,Bagalkot,524,0.205,0.201,29_524_shc_2015-17.525,204.066,0.709,106.309,3.833,25.014,8.325,Karnataka,29,15.952000000000048,76.21999999999711,Hungund,Chick-Otageri,0.123,8.451
0.563,Hungund,0.601,2015-17,Bagalkot,524,0.415,1.36,29_524_shc_2015-17.532,432.241,1.95,275.667,0.473,39.97,19.827,Karnataka,29,15.954000000000049,76.265999999997,Hungund,Kandgal,0.69,8.133
0.601,Badami,0.415,2015-17,Bagalkot,524,0.455,0.771,29_524_shc_2015-17.275,339.285,2.785,257.346,1.545,40.321,47.488,Karnataka,29,15.96000000000005,75.6659999999984,Badami,Adagal,0.355,7.504
0.816,Badami,0.502,2015-17,Bagalkot,524,0.248,3.245,29_524_shc_2015-17.362,304.004,7.53,570.45,0.383,100.054,17.531,Karnataka,29,15.96000000000005,75.84999999999798,Badami,Chimmalagi,0.441,7.598
1.142,Hungund,0.559,2015-17,Bagalkot,524,0.52,1.541,29_524_shc_2015-17.487,337.131,6.65,666.229,0.574,66.143,32.795,Karnataka,29,15.96000000000005,76.1379999999973,Hungund,Ilkal (Rural),0.468,8.243
0.81,Badami,0.57,2015-17,Bagalkot,524,0.23,0.27,29_524_shc_2015-17.342,100.91,1.84,468.27,0.82,37.67,5.15,Karnataka,29,15.962000000000051,75.80599999999808,Badami,Pattadakall,0.3,8.1
0.222,Hungund,0.562,2015-17,Bagalkot,524,0.06,0.546,29_524_shc_2015-17.373,377.308,2.606,913.781,0.274,21.993,10.579,Karnataka,29,15.966000000000053,75.86999999999793,Hungund,Upnal (S.C.),0.254,8.918
0.596,Badami,0.704,2015-17,Bagalkot,524,0.27,3.34,29_524_shc_2015-17.160,345.233,8.698,581.916,0.365,90.178,17.757,Karnataka,29,15.970000000000054,75.45799999999889,Badami,Neeralakeri,0.485,7.592
0.314,Hungund,0.465,2015-17,Bagalkot,524,0.17,1.271,29_524_shc_2015-17.369,330.763,2.258,769.574,0.621,26.954,10.609,Karnataka,29,15.980000000000057,75.86599999999794,Hungund,Siddanakolla,0.305,8.295
0.493,Badami,0.689,2015-17,Bagalkot,524,0.373,2.137,29_524_shc_2015-17.357,194.995,6.611,382.663,0.299,40.493,16.316,Karnataka,29,15.982000000000058,75.837999999998,Badami,Nagaral.S.P.,0.451,7.055
0.351,Hungund,0.499,2015-17,Bagalkot,524,0.2,0.759,29_524_shc_2015-17.490,272.539,2.241,480.554,0.4,43.342,14.599,Karnataka,29,15.982000000000058,76.14599999999729,Hungund,Ingalgi,0.533,7.759
